Tipo de resíduo - Toneladas                           ;jan/21    ;fev/21    ;mar/21    ;abr/21    ;mai/21    ;jun/21   ;jul/21    ;ago/21    ;set/21    ;out/21    ;nov/21    ;dez/21
DOMICILIAR                                            ;0         ;0         ;0         ;0         ;0         ;0        ;0         ;0         ;0         ;0         ;0         ;0
ENTULHO MECANIZADO                                    ;0         ;0         ;0         ;0         ;0         ;0        ;0         ;0         ;0         ;0         ;0         ;0
RESIDUOS DE ECOPONTO                                  ;0         ;0         ;0         ;0         ;0         ;0        ;0         ;0         ;0         ;0         ;0         ;0
DIVERSOS                                              ;0         ;0         ;0         ;0         ;0         ;0        ;0         ;0         ;0         ;0         ;0         ;0
ESGOTO                                                ;0         ;0         ;0         ;0         ;0         ;0        ;0         ;0         ;0         ;0         ;0         ;0
RESIDUOS DE PISCINAO                                  ;0         ;0         ;0         ;0         ;0         ;0        ;0         ;0         ;0         ;0         ;0         ;0
RESIDUOS DE CORREGOS                                  ;0         ;0         ;0         ;0         ;0         ;0        ;0         ;0         ;0         ;0         ;0         ;0
VARRICAO                                              ;0         ;0         ;0         ;0         ;0         ;0        ;0         ;0         ;0         ;0         ;0         ;0
SELETIVA                                              ;0         ;0         ;0         ;0         ;0         ;0        ;0         ;0         ;0         ;0         ;0         ;0
FEIRA LIVRE                                           ;0         ;0         ;0         ;0         ;0         ;0        ;0         ;0         ;0         ;0         ;0         ;0
ENTULHO MANUAL                                        ;0         ;0         ;0         ;0         ;0         ;0        ;0         ;0         ;0         ;0         ;0         ;0
PODA                                                  ;0         ;0         ;0         ;0         ;0         ;0        ;0         ;0         ;0         ;0         ;0         ;0
GG SAUDE                                              ;0         ;0         ;0         ;0         ;0         ;0        ;0         ;0         ;0         ;0         ;0         ;0
REJEITO-CMT CMJ                                       ;0         ;0         ;0         ;0         ;0         ;0        ;0         ;0         ;0         ;0         ;0         ;0
RESIDUOS DE BOCA DE LOBO                              ;0         ;0         ;0         ;0         ;0         ;0        ;0         ;0         ;0         ;0         ;0         ;0
PG SAUDE                                              ;0         ;0         ;0         ;0         ;0         ;0        ;0         ;0         ;0         ;0         ;0         ;0
REMOCAO RESIDUOS DESCARTADOS                          ;0         ;0         ;0         ;0         ;0         ;0        ;0         ;0         ;0         ;0         ;0         ;0
RESIDUOS PATIO COMPOSTAGEM                            ;0         ;0         ;0         ;0         ;0         ;0        ;0         ;0         ;0         ;0         ;0         ;0
REJEITO                                               ;0         ;0         ;0         ;0         ;0         ;0        ;0         ;0         ;0         ;0         ;0         ;0
ENTULHO APREENDIDO                                    ;0         ;0         ;0         ;0         ;0         ;0        ;0         ;0         ;0         ;0         ;0         ;0
MADEIRA                                               ;0         ;0         ;0         ;0         ;0         ;0        ;0         ;0         ;0         ;0         ;0         ;0
ANIMAIS                                               ;0         ;0         ;0         ;0         ;0         ;0        ;0         ;0         ;0         ;0         ;0         ;0
VARRICAO MECANIZADA                                   ;0         ;0         ;0         ;0         ;0         ;0        ;0         ;0         ;0         ;0         ;0         ;0
ALIM VENCIDOS                                         ;0         ;0         ;0         ;0         ;0         ;0        ;0         ;0         ;0         ;0         ;0         ;0
MATERIAL APREENDIDO                                   ;0         ;0         ;0         ;0         ;0         ;0        ;0         ;0         ;0         ;0         ;0         ;0
RESIDUO DE ACUMULADOR                                 ;0         ;0         ;0         ;0         ;0         ;0        ;0         ;0         ;0         ;0         ;0         ;0
RESIDUO DE DESFAZIMENTO                               ;0         ;0         ;0         ;0         ;0         ;0        ;0         ;0         ;0         ;0         ;0         ;0
EQUIPE DE EVENTOS ESPECIAIS E OPERACOES DE EMERGENCIA ;0         ;0         ;0         ;0         ;0         ;0        ;0         ;0         ;0         ;0         ;0         ;0
RESIDUO ECOPONTO - ENTULHO                            ;0         ;0         ;0         ;0         ;0         ;0        ;0         ;0         ;0         ;0         ;0         ;0
ENTULHO DO PREDIO                                     ;0         ;0         ;0         ;0         ;0         ;0        ;0         ;0         ;0         ;0         ;0         ;0
LIMPEZA URBANA                                        ;0         ;0         ;0         ;0         ;0         ;0        ;0         ;0         ;0         ;0         ;0         ;0
RESIDUOS DE ECOPONTO - DIVERSOS                       ;0         ;0         ;0         ;0         ;0         ;0        ;0         ;0         ;0         ;0         ;0         ;0
Total geral                                           ;308771,34 ;278865,96 ;314020,61 ;274942,26 ;277720,63 ;276873,3 ;275104,11 ;281445,44 ;273401,23 ;275099,12 ;285569,11 ;299566,33
