Tipo de resíduo - Toneladas                           ;jan/23    ;fev/23    ;mar/23    ;abr/23    ;mai/23    ;jun/23    ;jul/23   ;ago/23    ;set/23    ;out/23   ;nov/23   ;dez/23
DOMICILIAR                                            ;0         ;0         ;0         ;0         ;0         ;0         ;0        ;0         ;0         ;0        ;0        ;0
ENTULHO MECANIZADO                                    ;0         ;0         ;0         ;0         ;0         ;0         ;0        ;0         ;0         ;0        ;0        ;0
RESIDUOS DE ECOPONTO                                  ;0         ;0         ;0         ;0         ;0         ;0         ;0        ;0         ;0         ;0        ;0        ;0
DIVERSOS                                              ;0         ;0         ;0         ;0         ;0         ;0         ;0        ;0         ;0         ;0        ;0        ;0
ESGOTO                                                ;0         ;0         ;0         ;0         ;0         ;0         ;0        ;0         ;0         ;0        ;0        ;0
RESIDUOS DE PISCINAO                                  ;0         ;0         ;0         ;0         ;0         ;0         ;0        ;0         ;0         ;0        ;0        ;0
RESIDUOS DE CORREGOS                                  ;0         ;0         ;0         ;0         ;0         ;0         ;0        ;0         ;0         ;0        ;0        ;0
VARRICAO                                              ;0         ;0         ;0         ;0         ;0         ;0         ;0        ;0         ;0         ;0        ;0        ;0
SELETIVA                                              ;0         ;0         ;0         ;0         ;0         ;0         ;0        ;0         ;0         ;0        ;0        ;0
FEIRA LIVRE                                           ;0         ;0         ;0         ;0         ;0         ;0         ;0        ;0         ;0         ;0        ;0        ;0
ENTULHO MANUAL                                        ;0         ;0         ;0         ;0         ;0         ;0         ;0        ;0         ;0         ;0        ;0        ;0
PODA                                                  ;0         ;0         ;0         ;0         ;0         ;0         ;0        ;0         ;0         ;0        ;0        ;0
GG SAUDE                                              ;0         ;0         ;0         ;0         ;0         ;0         ;0        ;0         ;0         ;0        ;0        ;0
REJEITO-CMT CMJ                                       ;0         ;0         ;0         ;0         ;0         ;0         ;0        ;0         ;0         ;0        ;0        ;0
RESIDUOS DE BOCA DE LOBO                              ;0         ;0         ;0         ;0         ;0         ;0         ;0        ;0         ;0         ;0        ;0        ;0
PG SAUDE                                              ;0         ;0         ;0         ;0         ;0         ;0         ;0        ;0         ;0         ;0        ;0        ;0
REMOCAO RESIDUOS DESCARTADOS                          ;0         ;0         ;0         ;0         ;0         ;0         ;0        ;0         ;0         ;0        ;0        ;0
RESIDUOS PATIO COMPOSTAGEM                            ;0         ;0         ;0         ;0         ;0         ;0         ;0        ;0         ;0         ;0        ;0        ;0
REJEITO                                               ;0         ;0         ;0         ;0         ;0         ;0         ;0        ;0         ;0         ;0        ;0        ;0
ENTULHO APREENDIDO                                    ;0         ;0         ;0         ;0         ;0         ;0         ;0        ;0         ;0         ;0        ;0        ;0
MADEIRA                                               ;0         ;0         ;0         ;0         ;0         ;0         ;0        ;0         ;0         ;0        ;0        ;0
ANIMAIS                                               ;0         ;0         ;0         ;0         ;0         ;0         ;0        ;0         ;0         ;0        ;0        ;0
VARRICAO MECANIZADA                                   ;0         ;0         ;0         ;0         ;0         ;0         ;0        ;0         ;0         ;0        ;0        ;0
ALIM VENCIDOS                                         ;0         ;0         ;0         ;0         ;0         ;0         ;0        ;0         ;0         ;0        ;0        ;0
MATERIAL APREENDIDO                                   ;0         ;0         ;0         ;0         ;0         ;0         ;0        ;0         ;0         ;0        ;0        ;0
RESIDUO DE ACUMULADOR                                 ;0         ;0         ;0         ;0         ;0         ;0         ;0        ;0         ;0         ;0        ;0        ;0
RESIDUO DE DESFAZIMENTO                               ;0         ;0         ;0         ;0         ;0         ;0         ;0        ;0         ;0         ;0        ;0        ;0
EQUIPE DE EVENTOS ESPECIAIS E OPERACOES DE EMERGENCIA ;0         ;0         ;0         ;0         ;0         ;0         ;0        ;0         ;0         ;0        ;0        ;0
RESIDUO ECOPONTO - ENTULHO                            ;0         ;0         ;0         ;0         ;0         ;0         ;0        ;0         ;0         ;0        ;0        ;0
ENTULHO DO PREDIO                                     ;0         ;0         ;0         ;0         ;0         ;0         ;0        ;0         ;0         ;0        ;0        ;0
LIMPEZA URBANA                                        ;0         ;0         ;0         ;0         ;0         ;0         ;0        ;0         ;0         ;0        ;0        ;0
RESIDUOS DE ECOPONTO - DIVERSOS                       ;0         ;0         ;0         ;0         ;0         ;0         ;0        ;0         ;0         ;0        ;0        ;0
Total geral                                           ;295133,44 ;276302,21 ;306021,76 ;266533,19 ;288978,31 ;273364,94 ;276232,8 ;290545,02 ;281255,24 ;297534,7 ;293825,9 ;307069,36
